#     t[s], lane,       x[m],     v[m/s],   a[m/s^2],     gap[m],    dv[m/s], label,           id,	roadId, originId, infoComment, absTime, xWithOffset[m]
      3.00,    1,        0.0,    13.8800,    0.00000,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:03Z,     0.0000
      4.00,    2,       14.0,    14.0520,   -0.05207,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:04Z,    13.9906
      5.00,    2,       28.0,    14.0078,   -0.03848,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:05Z,    28.0194
      6.00,    2,       42.0,    13.9750,   -0.02851,       0.00,   0.000000,  IDM,            1,        1,        1, , 1970-01-01T00:00:06Z,    42.0100
      6.00,    2,       12.6,    12.8688,    0.00000,      23.40,  -1.106253,  IDM,            2,        1,        1, , 1970-01-01T00:00:06Z,    12.6100
